name, protein,fat,carbohydrate,sugars
Muesli (Almond),12.3,9.9,51.7,19.7
Wholegrain Rolled Oats,13.3,9.8,60.3,1.2
Almond Milk,,,,
Soy Milk,,,,
Firm Tofu,15.9,8.8,0.3,0.3
Hummus,8.4,10.8,4.6,0.6
Hummus (Lite),5.0,9.3,15.7,0.6
Hummus,5.6,19.2,16.8,0.6
Peanut Butter,28,50,12,5.0
Peanut Butter,28.4,50.9,18,5.5
Tahini,25.6,57.3,12,1
Butter Beans,7.4,0.9,15.2,0.9
Kidney Beans,5.2,0.4,16.1,0.7
Chickpeas,8,0.5,15,1.2
Lentils,4.2,0.9,11.3,0.9
Cannellini Beans,7.4,0.8,14,1
Kiwifruit,1.14,0.52,14.66,8.99
Apple (Granny Smith),0.26,0.17,13.81,10.39
Apple (Pink Lady),0.26,0.17,13.81,10.39
Banana,1.09,0.33,22.84,12.23
Navel Orange,0.94,0.12,11.75,9.35
Avocado,2,14.66,8.53,0.66
Broccoli,2.82,0.37,6.64,1.7
Spinach,2.9,0.4,3.6,0.4
Baby Spinach,2.9,0.4,3.6,0.4
Bok Choy,1.5,0.2,2.2,
Brussels Sprouts,3.38,0.3,8.95,2.2
Sweet Potato,1.6,0.1,20.1,4.2
Eggplant,0.98,0.18,5.88,3.53
Cup Mushrooms,2.5,0.1,4.1,
Cucumber,0.65,0.11,3.63,1.67
Red Capcicum,0.86,0.17,4.64,2.4
Dried Apricots,2.8,1.0,58.2,45
Almonds,24.1,53.5,6.2,3.4
Walnuts,15.9,69.2,4.3,2.6
Cashews,19.6,48.8,20,6.7
Flaxseed,18,34,20,2.0
Pumpkin Seeds,30.23,49.05,10.71,1.4
Wholegrain Wraps,8.5,9.4,46.9,5.2
Wholegrain Pasta,13,2.5,57,1.8
Brown Rice,7.6,2.6,72.5,1
Rice Cakes,7.9,3.2,79.1,0.5
Rice Crackers,8.8,12.8,77,0.6
Rice+Pea Protein Powder,81.65,1.05,3.8,
Sweet William Chocolate,7.9,31,55.8,42.4
Chips (Chilli & Sea Salt),7.9,23.4,62,2.4
